cohort,simulator,entry_index,exit_index,entry_time_api,exit_time_api,entry_time_actual_utc,exit_time_actual_utc,raw_episode_id,entry_price,exit_price,tp_distance,sl_distance,exit_reason,same_bar_both_hit,gross_price,spread_points,spread_observed,extra_cost_points,gross_r,net_r,stress_r,risk_mult,risk_guard_reasons,risk_budget,account_pnl,balance_before,balance_after,positive,trade_id,episode_trade_ordinal,entry_kind,score_fold,candidate_id
A0_BASELINE_075,S5,15709,15725,2018-01-17T22:03:00,2018-01-17T22:19:00,2018-01-17T22:03:00,2018-01-17T22:19:00,2,1329.12,1327.414857142857,1.5,1.7051428571428398,stop_loss,False,-1.705142857142846,30.0,False,5.0,-0.8503847249928773,-1.0249358791678576,-1.0498717583357118,1.0,,14.0,-14.349102308350005,1000.0,985.65089769165,False,S5_000000,0,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,18589,18600,2018-01-22T01:04:00,2018-01-22T01:15:00,2018-01-22T01:04:00,2018-01-22T01:15:00,3,1334.75,1333.1717142857144,1.5,1.5782857142856561,stop_loss,False,-1.5782857142855846,30.0,False,5.0,-0.8402798904775961,-1.0266200182536895,-1.053240036507417,1.0,,13.7991125676831,-14.16644519611954,985.65089769165,971.4844524955305,False,S5_000001,0,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,28243,28333,2018-01-31T01:00:00,2018-01-31T02:30:00,2018-01-31T01:00:00,2018-01-31T02:30:00,6,1338.18,1338.82,1.5404999999999291,1.8959999999999129,timeout,False,0.6399999999998727,30.0,False,5.0,0.29143897996352375,0.13205828779593998,0.10928961748628516,1.0,,13.600782334937428,1.7960960278371034,971.4844524955305,973.2805485233675,True,S5_000002,0,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,29508,29519,2018-01-31T22:06:00,2018-01-31T22:17:00,2018-01-31T22:06:00,2018-01-31T22:17:00,9,1343.64,1345.14,1.5,1.7462857142858152,take_profit,False,1.5,30.0,False,5.0,0.7330354649538874,0.561993856464647,0.5375593409661841,1.0,,13.625927679327146,7.65768764441344,973.2805485233675,980.9382361677809,True,S5_000003,0,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,32381,32392,2018-02-05T01:00:00,2018-02-05T01:11:00,2018-02-05T01:00:00,2018-02-05T01:11:00,11,1331.84,1329.6571428571428,1.773571428571399,2.1828571428571064,stop_loss,False,-2.182857142857074,30.0,False,5.0,-0.8791714614499277,-1.0201380897583303,-1.0402761795166735,1.0,,13.733135306348933,-14.009694417811483,980.9382361677809,966.9285417499694,False,S5_000004,0,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,33768,33858,2018-02-06T01:12:00,2018-02-06T02:42:00,2018-02-06T01:12:00,2018-02-06T02:42:00,15,1337.36,1338.9,4.35964285714284,5.365714285714265,timeout,False,1.540000000000191,30.0,False,5.0,0.2718103883005894,0.21003530005046311,0.20121028744330224,1.0,,13.536999584499572,2.843247769513362,966.9285417499694,969.7717895194828,True,S5_000005,0,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,33941,33944,2018-02-06T04:05:00,2018-02-06T04:08:00,2018-02-06T04:05:00,2018-02-06T04:08:00,16,1344.32,1345.8790714285713,1.559071428571404,1.9188571428571128,take_profit,False,1.5590714285713148,30.0,False,5.0,0.7026461498840685,0.544907288179199,0.5223731650785034,1.0,,13.576805053272759,7.398100023716504,969.7717895194828,977.1698895431994,True,S5_000006,0,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,33945,34014,2018-02-06T04:09:00,2018-02-06T05:18:00,2018-02-06T04:09:00,2018-02-06T05:18:00,16,1345.61,1343.3082857142856,1.8701428571428034,2.3017142857142194,stop_loss,False,-2.301714285714297,30.0,False,5.0,-0.8846914122556826,-1.0192180979574212,-1.0384361959148123,1.0,,13.680378453604792,-13.943289306820764,977.1698895431994,963.2266002363785,False,S5_000007,1,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,39275,39287,2018-02-12T01:00:00,2018-02-12T01:12:00,2018-02-12T01:00:00,2018-02-12T01:12:00,18,1314.87,1316.8311428571428,1.9611428571428684,2.4137142857142995,take_profit,False,1.9611428571429315,30.0,False,5.0,0.7226784586228917,0.5937039376711131,0.5752790061065733,1.0,,13.4851724033093,8.006199956018559,963.2266002363785,971.2328001923971,True,S5_000008,0,primary,1,A0_BASELINE_075
A0_BASELINE_075,S5,40660,40750,2018-02-13T01:05:00,2018-02-13T02:35:00,2018-02-13T01:05:00,2018-02-13T02:35:00,19,1323.52,1322.56,1.7912142857142823,2.2045714285714246,timeout,False,-0.9600000000000364,30.0,False,5.0,-0.3832991101985093,-0.5230435774583773,-0.5430070727812155,1.0,,13.59725920269356,-7.111959097005682,971.2328001923971,964.1208410953915,False,S5_000009,0,primary,1,A0_BASELINE_075
